Date,Clicks,Impressions,CTR,Position
2026-01-08,21,5199,0.4%,13.3
2026-01-09,20,6000,0.33%,13.5
2026-01-10,23,5787,0.4%,14.5
2026-01-11,15,6350,0.24%,13.8
2026-01-12,11,6159,0.18%,12.7
2026-01-13,20,5867,0.34%,12.8
2026-01-14,26,5733,0.45%,12.9
2026-01-15,16,6233,0.26%,13
2026-01-16,18,6714,0.27%,12.9
2026-01-17,21,6812,0.31%,11.5
2026-01-18,23,8202,0.28%,13.1
2026-01-19,28,7836,0.36%,13.7
2026-01-20,19,6202,0.31%,15.2
2026-01-21,24,6264,0.38%,14.4
2026-01-22,22,6160,0.36%,13.9
2026-01-23,27,6308,0.43%,13.4
2026-01-24,26,7308,0.36%,12
2026-01-25,21,7005,0.3%,13.3
2026-01-26,33,7416,0.44%,12.8
2026-01-27,25,7506,0.33%,13.4
2026-01-28,30,6087,0.49%,12.8
2026-01-29,26,6985,0.37%,11.2
2026-01-30,22,7124,0.31%,12.1
2026-01-31,26,8275,0.31%,10.4
2026-02-01,25,7449,0.34%,12.5
2026-02-02,24,7256,0.33%,11.4
2026-02-03,27,6280,0.43%,11.6
2026-02-04,23,5834,0.39%,11.2